ID,Username,Twitter @,Tweet,Tweeted At,Favourite Count,Retweet Count,Sentiment
978867238697668609,Chennaiyin F.C. 🏆🏆,ChennaiyinFC,"Hang in there!

We’re halfway through the week already 😉

#PoduMachiGoalu #WednesdayWisdom https://t.co/rHzyTYdfAM",2018-03-28 05:31:50,13,1,Neutral

978867182879813632,hum_bolega,hum_bolega,"Desi Gyan......Never fails. 😜😜
#WednesdayWisdom https://t.co/uMKPPLkPbq",2018-03-28 05:31:37,0,0,Negative

978867167474212865,Truth Tweeter,redostoneage,Twitter's data problems could be even worse than Facebook's https://t.co/8BtgqHv5rm #WednesdayWisdom #cnn #sitroom #TheLead #outfront #AC360 #nyc #boston #baltimore #philadelphia #detroit #chicago #milwaukee #seattle #sanfrancisco #tcot #tlot #maga #sgp #news,2018-03-28 05:31:33,0,0,Negative

978867148096458753,🌟HannahShewanFriend🌟,InkyBabble,Today’s #WordsOfWisdom from Stanley the snail. #WednesdayWisdom https://t.co/zEJzpxI61T,2018-03-28 05:31:29,1,1,Neutral

978867117201219585,Priya Sengp,Cashback_Offers,"Best #Flights &amp; #Hotel Booking deals at MakeMyTrip.
https://t.co/VNvEKuDqn2
#WednesdayWisdom #ShahidKhaqanAbbasi #माझीकन्याभाग्यश्री #XiJinping #सट्टेबाजी_से_दूर_रहना #Horlicks #cashback #offers #Deals #discountcode #discounts",2018-03-28 05:31:21,0,1,Positive

978867103481593856,Shobhit Banga,shobhitbanga,"Courage is resistance to fear, not the absence of it. 
Fear must not stop you from being the leader you want to be. 
Resist it. 

#WednesdayWisdom",2018-03-28 05:31:18,1,0,Negative

978867062863990784,Asaan,AsaanHQ,"Fit is not a Destination, it is a way of life.

#technology #electronics  #technology #techdevices  #dailypost #onlineshopping #techshopping #techsavvy #techgeek #fitbit #fitbitcharge #fitbitlife #fitbitaddict #health #healthylifestyle #exercises #WednesdayWisdom https://t.co/2CYkY1zBFK",2018-03-28 05:31:08,1,0,Positive

978867060087443456,CHEERONS,cheerons,"""A JOURNEY OF A THOUSAND MILES BEGINS WITH A SINGLE STEP""
#WednesdayWisdom 
#cheerons
#digitalmarketinginstitute https://t.co/zTVFnfTw3J",2018-03-28 05:31:08,0,0,Negative

